item,y,pred_combined,pred_rgb,pred_pcloud,entropy_rgb,entropy_pcloud,margin_rgb,margin_pcloud,jsd
0,pelota,1.0,3.0,1.0,1.1364773511886597,0.3533593416213989,7.0,26.0,0.4147943597968167
1,pelota,1.0,1.0,1.0,1.373017430305481,0.566509485244751,8.0,22.0,0.3061486086788992
2,pelota,1.0,1.0,1.0,-0.0,0.468995600938797,,24.0,0.051899160321315446
3,pelota,1.0,1.0,0.0,-0.0,1.0,,0.0,0.31127812445913283
4,pelota,1.0,1.0,1.0,0.2108422964811325,-0.0,28.0,,0.016870446910108555
5,pelota,1.0,1.0,1.0,-0.0,-0.0,,,0.0
6,pelota,1.0,1.0,1.0,0.6746799349784851,0.6500224471092224,23.0,20.0,0.150235749591504
7,pelota,1.0,1.0,1.0,0.7219281196594238,-0.0,18.0,,0.10803154614560014
8,pelota,1.0,1.0,1.0,0.2108422964811325,0.566509485244751,28.0,22.0,0.08530162144186185
9,pelota,1.0,1.0,1.0,0.7219281196594238,-0.0,18.0,,0.10803154614560014
10,pelota,1.0,1.0,1.0,1.109227180480957,0.566509485244751,9.0,22.0,0.26314443487101935
11,pelota,1.0,1.0,1.0,1.1766796112060547,0.7219281196594238,1.0,18.0,0.30616771609552584
12,pelota,1.0,1.0,1.0,0.7219281196594238,0.2108422964811325,18.0,28.0,0.12234607973596305
13,pelota,1.0,3.0,1.0,1.373017430305481,-0.0,8.0,,0.4934226057601447
14,pelota,1.0,3.0,1.0,1.1766796112060547,-0.0,1.0,,0.33824492595034894
15,pelota,1.0,1.0,1.0,1.2866926193237305,-0.0,0.0,,0.33824492595034894
16,perro,1.0,1.0,0.0,1.2580403089523315,1.0,11.0,0.0,0.08169465053101407
17,perro,1.0,1.0,0.0,0.6500224471092224,0.566509485244751,20.0,22.0,0.7202492647611421
18,perro,1.0,1.0,1.0,0.2108422964811325,0.9871377944946289,28.0,4.0,0.2714077863555462
19,perro,1.0,1.0,1.0,0.5608251690864563,-0.0,25.0,,0.05189916032131543
20,perro,1.0,1.0,1.0,0.7219281196594238,0.9480782151222229,18.0,8.0,0.2903389720090943
21,perro,1.0,1.0,0.0,0.9480782151222229,0.9480782151222229,8.0,8.0,0.5259608782030473
22,perro,1.0,2.0,1.0,0.9709506034851074,0.9182958602905273,6.0,10.0,0.490968531773352
23,perro,2.0,2.0,0.0,0.468995600938797,-0.0,24.0,,1.0
24,perro,2.0,2.0,0.0,0.7219281196594238,0.7837769389152527,18.0,16.0,0.7842590520482662
25,perro,1.0,1.0,1.0,0.9871377944946289,0.9480782151222229,4.0,8.0,0.40133651674601084
26,perro,1.0,1.0,0.0,0.468995600938797,0.9871377944946289,24.0,4.0,0.39350925164588924
27,perro,2.0,2.0,0.0,0.9480782151222229,0.9480782151222229,8.0,8.0,0.6333333333333333
28,perro,1.0,1.0,0.0,0.2108422964811325,-0.0,28.0,,1.0
29,perro,1.0,1.0,0.0,0.2108422964811325,0.9871377944946289,28.0,4.0,0.375163890630431
30,perro,1.0,1.0,0.0,-0.0,0.8812909126281738,,12.0,0.4934226057601447
31,perro,1.0,1.0,0.0,0.2108422964811325,0.9182958602905273,28.0,10.0,0.46616738786575884
32,perro,1.0,1.0,0.0,0.468995600938797,0.8812909126281738,24.0,12.0,0.5132331253245203
33,perro,1.0,1.0,1.0,0.3533593416213989,0.468995600938797,26.0,24.0,0.08355193553617146
34,perro,1.0,1.0,1.0,0.4200260043144226,0.9480782151222229,27.0,8.0,0.2375147424032013
35,perro,1.0,1.0,1.0,1.373017430305481,0.6500224471092224,8.0,20.0,0.31843235481526594
36,perro,1.0,1.0,1.0,-0.0,-0.0,,,0.0
37,perro,1.0,1.0,1.0,0.8118475079536438,0.7837769389152527,22.0,16.0,0.20100216165106535
38,perro,1.0,1.0,1.0,0.7703437805175781,0.9709506034851074,21.0,6.0,0.2970945053023255
39,perro,1.0,1.0,0.0,1.0322684049606323,0.9182958602905273,13.0,10.0,0.5312976867539075
40,perro,1.0,1.0,0.0,1.2580403089523315,0.6500224471092224,11.0,20.0,0.7046860535426198
41,perro,1.0,1.0,1.0,1.3628981113433838,-0.0,11.0,,0.23645279766002805
42,perro,1.0,1.0,1.0,0.4200260043144226,-0.0,27.0,,0.034162632807821544
43,perro,1.0,1.0,0.0,0.2108422964811325,1.0,28.0,0.0,0.3211636095464382
