item,y,pred_combined,pred_rgb,pred_pcloud,entropy_rgb,entropy_pcloud,margin_rgb,margin_pcloud,jsd
0,pelota,0.0,0.0,3.0,0.5608251690864563,1.110552191734314,25.0,14.0,1.0
1,pelota,0.0,0.0,3.0,0.2108422964811325,0.8812909126281738,28.0,12.0,0.4998254726804026
2,pelota,0.0,0.0,0.0,-0.0,0.9871377944946289,,4.0,0.2604651690110395
3,pelota,0.0,0.0,3.0,0.2108422964811325,-0.0,28.0,,1.0
4,pelota,0.0,0.0,3.0,1.2309595346450806,0.9480782151222229,8.0,8.0,0.087990063631241
5,pelota,0.0,0.0,0.0,1.2867841720581055,0.8812909126281738,16.0,12.0,0.1377443751081734
6,pelota,0.0,0.0,0.0,0.5608251690864563,1.0,25.0,0.0,0.25185581116602124
7,pelota,0.0,0.0,0.0,-0.0,0.8366407155990601,,14.0,0.14818913558232166
8,pelota,0.0,0.0,0.0,0.9055872559547424,0.9480782151222229,20.0,8.0,0.15613949649536213
9,pelota,3.0,3.0,0.0,0.9871377944946289,0.996791660785675,4.0,2.0,0.007233651086728375
10,pelota,0.0,0.0,3.0,0.6998428106307983,0.6500224471092224,24.0,20.0,0.4992571618344424
11,pelota,0.0,0.0,3.0,1.4384323358535767,0.9480782151222229,5.0,8.0,0.40239570206117964
12,pelota,3.0,0.0,3.0,1.17003333568573,-0.0,3.0,,0.36638416253165906
13,pelota,3.0,0.0,3.0,1.109227180480957,0.8366407155990601,9.0,14.0,0.12759061259847732
14,pelota,3.0,0.0,3.0,1.2580403089523315,-0.0,11.0,,0.5297578726233217
15,perro,0.0,0.0,0.0,0.5608251690864563,1.5247231721878052,25.0,11.0,0.11124158647998095
16,perro,0.0,0.0,2.0,1.6485062837600708,1.2948203086853027,11.0,12.0,0.18705409589563654
17,perro,0.0,0.0,1.0,0.5608251690864563,1.8989295959472656,25.0,4.0,0.4903405673317206
18,perro,0.0,0.0,3.0,0.2108422964811325,1.3709505796432495,28.0,12.0,0.5454101469979402
19,perro,0.0,0.0,2.0,0.468995600938797,0.7837769389152527,24.0,16.0,1.0
20,perro,0.0,0.0,2.0,0.8519325852394104,-0.0,19.0,,0.8937772041043739
21,perro,0.0,0.0,2.0,1.1567796468734741,0.6500224471092224,15.0,20.0,0.7707559071486445
22,perro,0.0,0.0,2.0,1.1033073663711548,0.566509485244751,18.0,22.0,0.7167452467235473
23,perro,2.0,0.0,2.0,1.482393741607666,0.2108422964811325,1.0,28.0,0.40402277796686714
24,perro,2.0,0.0,2.0,0.9709506034851074,1.3382688760757446,6.0,10.0,0.1286449920108861
25,perro,0.0,0.0,2.0,0.5608251690864563,0.3533593416213989,25.0,26.0,0.8954081493152222
26,perro,0.0,0.0,2.0,0.5608251690864563,1.3628981113433838,25.0,11.0,0.42799664230866197
27,perro,0.0,0.0,2.0,0.4200260043144226,0.468995600938797,27.0,24.0,0.7630123282963877
28,perro,0.0,0.0,2.0,-0.0,0.7219281196594238,,18.0,1.0
29,perro,0.0,0.0,2.0,1.3709505796432495,1.4186196327209473,12.0,10.0,0.44356216226661227
30,perro,0.0,0.0,1.0,1.373017430305481,1.1589385271072388,8.0,12.0,0.3631654239554525
31,perro,0.0,0.0,0.0,1.4384323358535767,1.6479204893112183,5.0,2.0,0.23843937021294911
32,perro,0.0,0.0,3.0,1.255536675453186,1.2729055881500244,6.0,4.0,0.37610532375414046
33,perro,0.0,0.0,3.0,1.0389206409454346,0.9480782151222229,22.0,8.0,0.31733165177197253
34,perro,0.0,0.0,1.0,0.9055872559547424,1.6750755310058594,20.0,6.0,0.2921421899664852
35,perro,0.0,0.0,2.0,0.9815912842750549,0.9709506034851074,15.0,6.0,0.6993401951271496
36,perro,0.0,0.0,2.0,0.9055872559547424,1.8774683475494385,20.0,1.0,0.4217938376632597
37,perro,0.0,0.0,1.0,0.468995600938797,1.4634582996368408,24.0,9.0,0.5843285068384223
38,perro,0.0,0.0,2.0,1.0322684049606323,1.5927846431732178,13.0,13.0,0.48652380169454235
39,perro,0.0,0.0,2.0,1.1054930686950684,1.4186196327209473,19.0,10.0,0.6038712124190719
40,perro,0.0,0.0,1.0,0.9055872559547424,1.9344518184661865,20.0,3.0,0.354679386079314
41,perro,0.0,0.0,0.0,1.42815363407135,1.8556342124938965,12.0,1.0,0.14090416074037665
42,perro,0.0,0.0,2.0,0.2108422964811325,-0.0,28.0,,1.0
43,perro,0.0,0.0,2.0,-0.0,-0.0,,,1.0
44,perro,0.0,0.0,2.0,-0.0,-0.0,,,1.0
45,perro,0.0,0.0,2.0,-0.0,1.7232314348220825,,10.0,0.7038830210957336
46,perro,0.0,0.0,2.0,0.468995600938797,1.3752793073654175,24.0,14.0,0.7440960121240119
47,tractor,0.0,0.0,2.0,1.2948203086853027,1.1469968557357788,12.0,20.0,0.6116253227709469
48,tractor,2.0,1.0,2.0,1.4983958005905151,0.8519325852394104,7.0,19.0,0.5118976297307605
49,tractor,2.0,3.0,2.0,1.474678635597229,-0.0,3.0,,0.42668055806540656
50,tractor,2.0,3.0,2.0,1.7995867729187012,0.468995600938797,7.0,24.0,0.4332953288937631
51,tractor,2.0,0.0,2.0,1.2256052494049072,-0.0,12.0,,0.8937772041043738
52,tractor,2.0,0.0,2.0,1.4328773021697998,0.7219281196594238,13.0,18.0,0.5238860366615805
53,tractor,3.0,3.0,2.0,0.9871377944946289,0.9851717352867126,4.0,18.0,0.5748561761229743
54,tractor,3.0,3.0,2.0,1.1589385271072388,0.566509485244751,12.0,22.0,0.5667492789082498
55,tractor,0.0,0.0,2.0,1.5493978261947632,1.474678635597229,1.0,3.0,0.46314840692144654
56,tractor,3.0,0.0,2.0,1.5493978261947632,1.7846406698226929,1.0,6.0,0.3125963091076313
57,tractor,3.0,3.0,2.0,0.9709506034851074,1.295461893081665,6.0,9.0,0.4062848509536392
58,tractor,3.0,3.0,2.0,1.6703402996063232,1.5801454782485962,12.0,1.0,0.14350953568682331
59,tractor,3.0,3.0,0.0,1.2655589580535889,1.5849624872207642,10.0,0.0,0.1541995199315303
60,tractor,3.0,3.0,2.0,0.8118475079536438,1.3628981113433838,22.0,11.0,0.31220842172643337
61,tractor,3.0,3.0,0.0,1.1218339204788208,1.3382688760757446,20.0,10.0,0.30711784237754136
62,tractor,3.0,3.0,3.0,1.8309595584869385,1.8214207887649536,1.0,7.0,0.08108190895920878
63,tractor,2.0,2.0,2.0,1.7055872678756714,1.4591479301452637,0.0,5.0,0.1763833251070445
64,tractor,3.0,0.0,3.0,1.8256051540374756,0.9709506034851074,0.0,6.0,0.2375496878021493
65,tractor,3.0,3.0,1.0,0.7219281196594238,1.6973397731781006,18.0,4.0,0.6833039732639267
66,tractor,3.0,3.0,2.0,0.2108422964811325,1.9134788513183594,28.0,2.0,0.43482323051556715
67,tractor,1.0,1.0,2.0,1.474678635597229,1.4527935981750488,3.0,3.0,0.5298327270948278
68,taza,2.0,1.0,2.0,1.255536675453186,0.2108422964811325,6.0,28.0,0.9172366299392732
69,taza,3.0,3.0,1.0,1.2114778757095337,0.8366407155990601,18.0,14.0,0.5957738059860336
70,taza,3.0,3.0,3.0,1.1566766500473022,1.1786136627197266,5.0,16.0,0.06394950626919316
71,taza,2.0,2.0,2.0,0.5608251690864563,0.7703437805175781,25.0,21.0,0.009095449251967383
72,taza,1.0,2.0,1.0,1.3466027975082397,0.8366407155990601,5.0,14.0,0.12761895764823503
73,taza,2.0,2.0,1.0,0.9851717352867126,0.6500224471092224,18.0,20.0,0.5126678305348278
74,taza,2.0,2.0,1.0,0.7837769389152527,1.474678635597229,16.0,3.0,0.16396206127776244
75,taza,2.0,2.0,2.0,-0.0,0.8366407155990601,,14.0,0.14818913558232166
76,taza,2.0,2.0,2.0,1.0322684049606323,1.1786136627197266,13.0,16.0,0.1163408331891021
77,taza,2.0,2.0,2.0,1.1054930686950684,0.9055872559547424,19.0,20.0,0.06493222498343901
78,taza,2.0,2.0,1.0,1.6485062837600708,0.8812909126281738,11.0,12.0,0.2528539827805907
79,taza,2.0,2.0,2.0,1.0137577056884766,0.9480782151222229,21.0,8.0,0.20757560194836755
80,taza,2.0,2.0,2.0,1.4294732809066772,-0.0,2.0,,0.33824492595034894
81,taza,2.0,1.0,2.0,1.0322684049606323,-0.0,13.0,,0.5297578726233217
82,taza,2.0,1.0,2.0,0.7219281196594238,0.2108422964811325,18.0,28.0,0.5134835590482056
83,taza,1.0,2.0,1.0,0.9182958602905273,0.566509485244751,10.0,22.0,0.2285479241509713
84,taza,2.0,2.0,1.0,0.3533593416213989,0.6500224471092224,26.0,20.0,0.6625095392203462
85,taza,2.0,2.0,2.0,0.7219281196594238,0.2108422964811325,18.0,28.0,0.12234607973596305
86,taza,2.0,3.0,2.0,1.56549870967865,-0.0,9.0,,0.5297578726233219
