,y,pred_combined,pred_rgb,pred_pcloud,entropy_rgb,entropy_pcloud,margin_rgb,margin_pcloud,jsd
0,,0.0,0.0,0.0,-0.0,0.9815912842750549,,15.0,0.14818913558232166
1,,0.0,0.0,0.0,-0.0,0.9055872559547424,,20.0,0.10803154614560012
2,pelota,0.0,0.0,2.0,0.7703437805175781,1.0746277570724487,21.0,11.0,0.37070414499656434
3,pelota,2.0,0.0,2.0,1.7529115676879883,-0.0,8.0,,0.7582766571931677
4,pelota,2.0,3.0,2.0,1.9907646179199219,-0.0,2.0,,0.5684737965731274
5,pelota,2.0,2.0,2.0,1.8256051540374756,-0.0,0.0,,0.45914791702724467
6,pelota,0.0,0.0,2.0,-0.0,1.3248560428619385,,7.0,0.45914791702724467
7,pelota,0.0,0.0,0.0,-0.0,1.2948203086853027,,12.0,0.21327597103397467
8,tractor,0.0,0.0,0.0,-0.0,0.9815912842750549,,15.0,0.14818913558232166
9,tractor,0.0,0.0,2.0,-0.0,0.6500224471092224,,20.0,0.6548575458269758
10,tractor,0.0,0.0,2.0,-0.0,0.468995600938797,,24.0,0.7582766571931677
11,tractor,2.0,0.0,2.0,1.554609775543213,0.9055872559547424,12.0,20.0,0.2963922760832213
12,tractor,0.0,0.0,3.0,1.298935055732727,1.8464393615722656,17.0,3.0,0.32624235819040104
13,tractor,0.0,0.0,0.0,1.7687300443649292,1.4983958005905151,4.0,7.0,0.19898999377285675
14,tractor,0.0,0.0,2.0,1.5009551048278809,1.474678635597229,12.0,3.0,0.49047776546465405
15,tractor,0.0,0.0,3.0,1.3404388427734375,1.0911564826965332,17.0,17.0,0.5637922905934951
16,tractor,3.0,3.0,2.0,1.6442188024520874,1.8294732570648193,1.0,8.0,0.15727927795232366
17,tractor,0.0,0.0,0.0,1.0529816150665283,1.521928071975708,16.0,0.0,0.33116483526683815
18,tractor,0.0,0.0,2.0,-0.0,1.2832547426223755,,2.0,1.0
19,tractor,0.0,0.0,2.0,-0.0,1.699790596961975,,7.0,0.8201119644709259
20,tractor,0.0,0.0,2.0,-0.0,0.468995600938797,,24.0,0.7582766571931677
21,tractor,0.0,0.0,2.0,-0.0,-0.0,,,1.0
22,tractor,0.0,0.0,2.0,-0.0,1.2419459819793701,,14.0,1.0
23,tractor,0.0,1.0,2.0,1.1766796112060547,1.7529115676879883,1.0,8.0,0.3540852082972755
24,perro,0.0,0.0,3.0,0.9722539186477661,0.7219281196594238,20.0,18.0,0.3629219892178994
25,perro,0.0,0.0,3.0,-0.0,0.9480782151222229,,8.0,1.0
26,perro,2.0,0.0,2.0,1.7147367000579834,-0.0,8.0,,0.6099865470109875
27,perro,2.0,1.0,2.0,1.9134788513183594,1.3248560428619385,2.0,7.0,0.19226649216863545
28,perro,3.0,3.0,0.0,1.8190559148788452,1.2866926193237305,4.0,0.0,0.2293544427457484
29,perro,1.0,1.0,2.0,1.3222033977508545,1.3709505796432495,6.0,12.0,0.5713828721423106
30,perro,0.0,0.0,2.0,-0.0,1.4811879396438599,,8.0,0.4934226057601447
31,taza,0.0,0.0,2.0,-0.0,1.0911564826965332,,17.0,0.6548575458269758
32,taza,0.0,0.0,2.0,1.255536675453186,1.711080551147461,6.0,10.0,0.30011696079653094
33,taza,1.0,1.0,0.0,0.9709506034851074,1.8961399793624878,6.0,5.0,0.24356216226661226
34,taza,0.0,0.0,0.0,1.5794693231582642,1.3382688760757446,5.0,10.0,0.2444613001379938
35,taza,1.0,1.0,2.0,1.2309595346450806,1.7058230638504028,8.0,4.0,0.49405091175322946
36,taza,3.0,3.0,3.0,1.1589385271072388,1.295461893081665,12.0,9.0,0.2870202240096546
37,taza,3.0,1.0,3.0,1.4854753017425537,1.5709506273269653,6.0,12.0,0.2540157730728001
38,taza,0.0,0.0,3.0,1.4599344730377197,1.5709506273269653,1.0,3.0,0.41966299688776987
